X,Y,amenity,name,addr:postcode,name:en,addr:city,addr:street,opening_hours,cuisine,internet_access,outdoor_seating,addr:housenumber,smoking,phone,addr:country,operator,website,wheelchair,internet_access:fee,int_name,name:mk,old_name,addr:city:en,addr:street:en,cof,email,leisure
21.3991821,42.0034483,cafe,Giovani,,Giovani,,,,regional,,,,,,,,,,,,Џовани,,,,,,
21.3994796,42.0030494,cafe,Sugarland,,,,,,,,,,,,,,,,,,,,,,,,
21.3999451,42.0031059,cafe,Мартини,,,,,,,,,,,,,,,,,,,,,,,,
21.3970638,42.0038026,cafe,Led Zeppelin,,,,,,,,,,,,,,,,,,,,,,,,
21.3990452,42.0151641,cafe,Tonnis Bakeri,,,,,,,wlan,,,outside,,,Tonnish Bakeri,,,no,,,,,,,,
21.4093297,41.995913,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4091295,41.997291,cafe,Ли,,Lee,,,,coffee_shop,,,,,,,,,,,,,,,,,,
21.411556,41.9956061,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4127725,41.999411,cafe,Концепт37,,Concept37,,,,,,,,,,,,,,,Koncept37,,,,,,,
21.4158769,42.0003534,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.415006,42.0038265,cafe,The Gallery,1000,,Cкoпje,,,,,,,,,,,,,,,,,,,,,
21.4146731,42.0042809,cafe,Cafe Bela,1000,,Cкoпje,,09:00 - 00:00,,,,,,,,,,,,,,,,,,,
21.4151255,42.0039722,cafe,MonAmi,1000,,Cкoпje,,,,,,,,,,,,,,,,,,,,,
21.415173,42.0040547,cafe,Жапон Кафе Бар,1000,Zapon Coffee Bar,Cкoпje,,07:30 - 23:30,,,,,,,,,,,,,,,,,,,
21.4159604,42.0047028,cafe,Бугати,,Bugatti,,,,,,,,,,,,,,,,,,,,,,
21.4414844,41.9931868,cafe,,,O La La,,,,,,,,,,,,,,,,,,,,,,
21.4454673,41.9911127,cafe,,,Cafe Jabolko,,,Mo-Su 06:00-22:00,,wlan,,,,,,,,,,,,,,,,,
"21.3909265,42.0041936,cafe,Trend Food Bar,,Trend Food Bar,,,""08:00-00:00"
21.3921091,42.0038662,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.393778,42.004566,cafe,Krem,,,,,,,,,,,,,,,,,,,,,,,,
21.4162239,41.9934306,cafe,9,,,,,,,,,,,,,,,,,,,,,,,,
21.4171739,41.9937283,cafe,Авантура,,,,,,,,,,,,,,,,,,,,,,,,playground
21.4164328,41.9939731,cafe,,,,,,,,,,,,,,,,,,,,СПА,,,,,
21.4173314,41.9947238,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.4168806,41.9984995,cafe,Belier,1000,,,Владимир Полежановски,,,,,,,,,,,,,,,,,,,,
21.4172361,41.9990907,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.417224,41.9992004,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
21.416703,42.0001541,cafe,Броз Кафе,,Broz Cafe,,,,,,,,,,,,,,,,,,,,,,
21.417262,42.0009888,cafe,Кафе Змија,,,,,,,,,,,,,,,,,,,,,,,,
21.4175044,42.0007963,cafe,Кафе Филипос,,,,Благој Давков,,coffee_shop,,,2,,,,,,,,,,,,,,,
21.4216953,42.0013652,cafe,Laika,,,,,,,,,,,,,,,,,,,,,,,,
21.423008,42.0012294,cafe,fourplay,1000,,Cкoпje,Орце Николов,,,,,93,,,,,,,,,,,,,,,
21.4218407,42.0023198,cafe,Кахава,1000,Cahawa,,,,,,,,,,,,,,,,,,,,,,
21.4181784,42.0087916,cafe,Централ Парк,,,,,,,,,,,,,,,,,,,,,,,,
